clock_counter=35, pc=7c, r_1=ffffffff, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=789000, r_15=6, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=36, pc=80, r_1=ffffffff, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=789000, r_15=98700000, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=37, pc=84, r_1=ffffffff, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=789000, r_15=98700000, r_16=78900084, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=38, pc=88, r_1=ffffffff, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=789000, r_15=98700000, r_16=78900084, r_17=98700088, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=39, pc=8c, r_1=ffffffff, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=789000, r_15=98700000, r_16=78900084, r_17=90, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=40, pc=90, r_1=ffffffff, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=789000, r_15=98700000, r_16=78900084, r_17=90, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=41, pc=98, r_1=ffffffff, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=789000, r_15=98700000, r_16=78900084, r_17=345, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=42, pc=9c, r_1=4, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=789000, r_15=98700000, r_16=78900084, r_17=345, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=43, pc=a0, r_1=4, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=789000, r_15=98700000, r_16=78900084, r_17=a4, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=44, pc=a4, r_1=4, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=91, r_11=91, r_12=ffffff23, r_13=101, r_14=789000, r_15=98700000, r_16=78900084, r_17=a4, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
